1;'Option_Text_Test_Yes';'1';0;1;1
2;'Option_Text_Test_No';'0';0;1;2
3;'Option_Text_Reason_Severe';'Severe';0;2;3
4;'Option_Text_Reason_Pregnant';'Pregnant';0;2;4
5;'Option_Text_Reason_Refused';'Refused';0;2;5
6;'Option_Text_Reason_StockOut';'RDT Stockout';0;2;6
7;'Option_Text_Gender_Male';'Male';0;3;7
8;'Option_Text_Gender_Female';'Female';0;3;8
9;'Option_Text_Rdt_Negative';'Negative';0;5;9
10;'Option_Text_Rdt_Pf';'Pf';0;5;10
11;'Option_Text_Rdt_Pv';'Pv';0;5;11
12;'Option_Text_Rdt_Mixed';'Mixed';0;5;12
13;'Option_Text_Rdt_Invalid';'Invalid';0;5;13
14;'Warning_Text_Invalid';'Repeat';0;6;14
15;'Warning_Button_Ignore_Invalid';'Ignore';0;6;15
16;'Warning_Button_Ignore_TryAgain';'TryAgain';0;6;16
17;'Option_Text_Treatment_ACT6x1';'ACT 6x1';0;7;17
18;'Option_Text_Treatment_ACT6x2';'ACT 6x2';0;7;18
19;'Option_Text_Treatment_ACT6x3';'ACT 6x3';0;7;19
20;'Option_Text_Treatment_ACT6x4';'ACT 6x4';0;7;20
21;'Option_Text_Treatment_Referred';'Referred ACT stockout';0;7;21
22;'Option_Text_Treatment_Combined';'Combined blister';0;7;22
23;'Warning_Text_Wrong_Treatment';'Warning text';0;9;23
24;'Warning_Text_Button_Wrong_Treatment';'Warning button';0;9;24
25;'Warning_Text_Refer_Hospital';'Reminder text';0;10;25
26;'Warning_Button_Refer_Hospital';'Reminder button';0;10;26
27;'Warning_Text_Refer_Not_Tested';'Reminder text';0;11;27
28;'Warning_Button_Refer_Not_Tested';'Remminder button';0;11;28
29;'Option_Text_Reason_Child';'Under 2 years';0;2;29
30;'Option_Text_Reason_Calendar';'Treated last 28 days';0;2;30
